"DT_GERACAO";"HH_GERACAO";"NR_ANO_REFERENCIA";"CD_ELEICAO";"NM_URNA";"NR_CANDIDATO";"SG_UF_UA";"SG_UE";"NM_UE_UA";"CONTRATANTE";"NR_CPF_CNPJ_EMITENTE";"CD_NATUREZA_OPERACAO";"CD_MODELO";"NM_UNIDADE_ARRECADADORA";"DT_EMISSAO";"NR_NOTA_FISCAL";"NR_SERIE";"VR_NOTA_FISCAL";"NR_CHAVE_ACESSO";"NM_URL_ACESSO"
"26/12/2023";"12:02:27";2022;546;"PROFESSOR ROBERTO BRANDÃO";2333;"MA";"MA";"MARANHÃO";"Titular";"32703832000160";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-08-29 00:00:00";341;"001";111000.0;"00000021220832703832000160550010000003411000056280";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"PROFESSOR ROBERTO BRANDÃO";2333;"MA";"MA";"MARANHÃO";"Titular";"35158716000104";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-08-29 00:00:00";9755;"001";25800.0;"00000021220835158716000104550010000097551000097547";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"01717954000344";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-20 00:00:00";481;"001";367.0;"00000021220901717954000344550010000004811273157612";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"01717954000344";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-20 00:00:00";483;"001";102.6;"00000021220901717954000344550010000004831990849400";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"01717954000344";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-03 00:00:00";451;"001";81.0;"00000021220901717954000344550010000004511024534642";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"32970475000105";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-08-29 00:00:00";75;"001";166.93;"00000021220832970475000105550010000000751000022403";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"01717954000344";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-03 00:00:00";450;"001";108.0;"00000021220901717954000344550010000004501106159120";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"01717954000344";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-16 00:00:00";471;"001";27.0;"00000021220901717954000344550010000004711800111900";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"01717954000344";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-03 00:00:00";448;"001";270.0;"00000021220901717954000344550010000004481664784513";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA. GRAÇA";2377;"MA";"MA";"MARANHÃO";"Titular";"04496308000120";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-29 00:00:00";2169;"001";11000.0;"00000021220904496308000120550010000021691167358364";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"SÃO LUÍS";"Titular";"13742474000150";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-17 00:00:00";102;"001";1000.0;"6BDB7DA31B7425D594C69C71C3BA7614";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"MARANHÃO";"Titular";"47579064000152";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-10-03 00:00:00";8;"011";5.0;"00000021221069425734000119550110000000081000103958";"http://0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"MARANHÃO";"Titular";"69425734000119";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-28 00:00:00";3;"011";500.0;"00000021220969425734000119550110000000031000082105";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"MARANHÃO";"Titular";"69418101000264";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-26 00:00:00";52630;"004";207.48;"00000021220969418101000264550040000526301559280309";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"SÃO LUÍS";"Titular";"13742474000150";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-14 00:00:00";101;"001";850.0;"9090DD637D903F7A97554A74D08999BA";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"MARANHÃO";"Titular";"69425734000119";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-29 00:00:00";4;"011";1000.0;"00000021220969425734000119550110000000041000082846";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"MARANHÃO";"Titular";"47579064000152";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-10-03 00:00:00";10;"011";550.08;"00000021221069425734000119550110000000101000105738";"http://0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"SÃO LUÍS";"Titular";"13742474000150";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-28 00:00:00";104;"001";2000.0;"BBDB6C84ABE11E266FE47B79293FAFF7";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"LUZINETE MOURA";27303;"MA";"MA";"MARANHÃO";"Titular";"36781256000120";"SERV";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-17 00:00:00";223245104;"890";800.0;"00000021220903526252000147558902232451041879123517";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"KIM";27445;"MA";"MA";"IMPERATRIZ";"Titular";"17080232000108";"SERV";"0A";"PREFEITURA MUNICIPAL DE IMPERATRIZ";"0022-09-27 00:00:00";202200000000068;"   ";9000.0;"00000000000000000000000000000000000000000NAPA-NDOJ";"#NULO"
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"37339182000130";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-26 00:00:00";12518;"001";6250.0;"00000021220937339182000130550010000125181007152372";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"15148003000144";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-01 00:00:00";7227;"001";2500.0;"00000021220915148003000144550010000072271267423647";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"37339182000130";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-13 00:00:00";12298;"001";20000.0;"00000021220937339182000130550010000122981473730933";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"37339182000130";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-13 00:00:00";12294;"001";20000.0;"00000021220937339182000130550010000122941055378380";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"41409490000161";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-08-29 00:00:00";167;"001";4770.0;"00000021220841409490000161550010000001671060301093";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"SÃO LUÍS";"Titular";"33119489000174";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-09 00:00:00";557;"001";10325.0;"3E00AB631EDE6B6FDA25F83C30EED23C";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"23929435000110";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-08-31 00:00:00";608;"001";789.0;"00000021220823929435000110550010000006081604575838";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"MARANHÃO";"Titular";"02354757000109";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-08-31 00:00:00";164;"001";450.0;"00000021220802354757000109550010000001641569161013";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"SÃO LUÍS";"Titular";"33119489000174";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-08-24 00:00:00";548;"001";16375.0;"CEF42278B1BD1FCB6D7F6B58E08A59BC";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"MARANHÃO";"Titular";"41343376000186";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-29 00:00:00";14;"001";4500.0;"00000021220941343376000186550010000000141553400062";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"MARANHÃO";"Titular";"37394652000168";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-20 00:00:00";114;"001";3250.0;"00000021220937394652000168550010000001141650300108";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"MARANHÃO";"Titular";"35367797000144";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-05 00:00:00";665;"001";1513.0;"00000021220935367797000144550010000006651000004259";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"SANTA LUZIA";"Titular";"24630431000108";"SERV";"NE";"PREFEITURA MUNICIPAL DE SANTA LUZIA";"0022-09-05 00:00:00";202200000000083;"   ";22370.0;"6Q7S-HDDQ";"https://santaluziama.webiss.com.br/externo/nfse/visualizar/24630431000108/6Q7S-HDDQ/202200000000083"
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"SANTA LUZIA";"Titular";"24630431000108";"SERV";"NE";"PREFEITURA MUNICIPAL DE SANTA LUZIA";"0022-09-05 00:00:00";202200000000088;"   ";12608.33;"QRJ2-AEI1";"https://santaluziama.webiss.com.br/externo/nfse/visualizar/24630431000108/QRJ2-AEI1/202200000000088"
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"MARANHÃO";"Titular";"36486642000190";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-22 00:00:00";306;"001";7582.5;"00000021220936486642000190550010000003061566381000";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"SANTA LUZIA";"Titular";"24630431000108";"SERV";"NE";"PREFEITURA MUNICIPAL DE SANTA LUZIA";"0022-09-05 00:00:00";202200000000089;"   ";22370.0;"K2C9-UHKA";"https://santaluziama.webiss.com.br/externo/nfse/visualizar/24630431000108/K2C9-UHKA/202200000000089"
"26/12/2023";"12:02:27";2022;546;"FABIANA VILAR";22000;"MA";"MA";"MARANHÃO";"Titular";"37394652000168";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-20 00:00:00";115;"001";9750.0;"00000021220937394652000168550010000001151030021935";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"EDUARDO MARTINS";2727;"MA";"MA";"SÃO LUÍS";"Titular";"23939396000132";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-28 00:00:00";700;"001";6600.0;"B5A7F5D733E6578DC89F2C5C60E4F60D";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"EDUARDO MARTINS";2727;"MA";"MA";"SÃO LUÍS";"Titular";"23939396000132";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-20 00:00:00";697;"001";12000.0;"CDDBE29055DAC47336E9CAB30E2F9F6E";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"KATYANE LEITE";4414;"MA";"MA";"MARANHÃO";"Titular";"33567001000171";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-19 00:00:00";1;"001";1500.0;"00000021220933567001000171550010000000011097008019";"http://0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"BRUNA BASTOS";4422;"MA";"MA";"SÃO LUÍS";"Titular";"04151872000101";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-13 00:00:00";2053;"001";2600.0;"16AEFD4C3CBDA44E70B7F9726393467B";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"BRUNA BASTOS";4422;"MA";"MA";"SÃO LUÍS";"Titular";"04151872000101";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-09-02 00:00:00";2046;"001";1900.0;"EDFF588D71AA58C4D6C9F0100FE6F09D";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"62744500330";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-27 00:00:00";35169;"001";1500.0;"5Z2T4LWRA";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=35169&codVerificacao=5Z2T4LWRA&cnpj=62744500330&hash=6522677OMPU1Q9I0NGXVWZ6ZC8O2WA8O"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"07390460393";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-28 00:00:00";35178;"001";920.0;"LD79ZSBPU";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=35178&codVerificacao=LD79ZSBPU&cnpj=07390460393&hash=65230330V5WB2B66DU37EB2BXJEARUZD"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"02389804306";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-29 00:00:00";35214;"001";500.0;"JMPV0NGR5";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=35214&codVerificacao=JMPV0NGR5&cnpj=02389804306&hash=6523810RAHKW4RMGTSWQ2O8FQIJ6S4OK"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"MARANHÃO";"Titular";"11806661000125";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-12 00:00:00";15;"002";10005.0;"00000021220911806661000125550020000000151149527367";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"24602797000165";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-27 00:00:00";160;"002";16200.0;"3ESGL8B6G";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=160&codVerificacao=3ESGL8B6G&cnpj=24602797000165&hash=6522721RHMTQR652BBEOA1U2R6X8QCNA"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"20863979000139";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-08 00:00:00";3;"002";2000.0;"HAZT8FY01";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=3&codVerificacao=HAZT8FY01&cnpj=20863979000139&hash=6517046H2TP0DA6TVB6M1NAT9N9SF6F6"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"62162421305";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-28 00:00:00";35181;"001";760.0;"IH9YQEQ8P";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=35181&codVerificacao=IH9YQEQ8P&cnpj=62162421305&hash=652304633D97IJPEFPGYEJAR0P1EBWHJ"
"26/12/2023";"12:02:27";2022;546;"LUCIANO LEITOA";12600;"MA";"MA";"TIMON";"Titular";"20863979000139";"SERV";"00";"PREFEITURA MUNICIPAL DE TIMON";"0022-09-29 00:00:00";5;"002";3000.0;"FXN0KPIH0";"http://45.184.25.2:8080/issweb/formGerarNF.jsf?nroNota=5&codVerificacao=FXN0KPIH0&cnpj=20863979000139&hash=6523495UYGW1S009IBEA3EMAQTYHFOG5"
"26/12/2023";"12:02:27";2022;546;"JOSIMAR MARANHÃOZINHO";2222;"MA";"MA";"SÃO LUÍS";"Titular";"37210133000100";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-08-26 00:00:00";41;"001";3026.0;"31CB1B50C8F51C2BA25313B0EB709946";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"DRA VIVIANNE";12456;"MA";"MA";"SÃO LUÍS";"Titular";"33119489000174";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-08-30 00:00:00";552;"001";14600.0;"6D7D3A602719BFCF8BD771F1B95DD033";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
